"","Power_rank","Name","Pay_check","Power_Ranking","Pay"
"1",1,"Tom Cruise",67,NA,67
"2",2,"Rolling Stones",90,NA,90
"3",3,"Oprah Winfrey",225,NA,225
"4",4,"U2",110,NA,110
"5",5,"Tiger Woods",90,NA,90
"6",6,"Steven Spielberg",332,NA,332
"7",7,"Howard Stern",302,NA,302
"8",8,"50 Cent",41,NA,41
"9",9,"Cast of the Sopranos",52,NA,52
"10",10,"Dan Brown",88,NA,88
"11",11,"Bruce Springsteen",55,NA,55
"12",12,"Donald Trump",44,NA,44
"13",13,"Muhammad Ali",55,NA,55
"14",14,"Paul McCartney",40,NA,40
"15",15,"George Lucas",244,NA,244
"16",16,"Elton John",34,NA,34
"17",17,"David Letterman",40,NA,40
"18",18,"Phil Mickelson",47,NA,47
"19",19,"J.K Rowling",75,15,90
"20",20,"Bradd Pitt",25,NA,25
"21",21,"Peter Jackson",39,NA,39
"22",22,"Dr. Phil McGraw",35,NA,35
"23",23,"Jay Lenon",32,NA,32
"24",24,"Celine Dion",40,NA,40
"25",25,"Kobe Bryant",31,NA,31
